<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CDR,D,20210115,000000,252.98,255.082,239.71,244.582,796754.2631410499,0
CDR,D,20210118,000000,245.339,246.488,237.992,242,503050.6307449303,0
CDR,D,20210119,000000,243.718,245.339,231.785,236.941,788194.3811563094,0
CDR,D,20210120,000000,235.792,244.101,228.161,241.234,776777.4718313633,0
CDR,D,20210121,000000,243.433,248.687,240.192,241.715,944327.9725622858,0
CDR,D,20210122,000000,240.566,245.339,238.561,238.758,544629.2367552606,0
CDR,D,20210125,000000,240.566,264.058,238.944,263.193,1683465.1782806579,0
CDR,D,20210126,000000,260.709,286.392,260.709,286.392,2807162.7440062067,0
CDR,D,20210127,000000,294.033,329.351,294.033,301.477,6148186.399340048,0
CDR,D,20210128,000000,297.087,359.424,285.537,348.443,7183369.0631432505,0
CDR,D,20210129,000000,337.944,341.765,284.192,291.352,3087205.387156562,0
CDR,D,20210201,000000,291.647,301.665,278.083,291.932,1056582.8778576285,0
CDR,D,20210202,000000,291.647,292.03,269.588,270.452,1444724.1947983082,0
CDR,D,20210203,000000,271.12,282.188,270.55,274.94,722823.8443338712,0
CDR,D,20210204,000000,275.028,285.243,275.028,277.799,422503.027089549,0
CDR,D,20210205,000000,279.9,284.388,275.126,280.097,455004.51309346204,0
CDR,D,20210208,000000,283.524,284.29,273.31,273.31,507636.53635445883,0
CDR,D,20210209,000000,273.977,275.126,256.231,257.753,1179301.6712410443,0
CDR,D,20210210,000000,256.702,263.007,252.409,257.272,686383.0002475281,0
CDR,D,20210211,000000,256.319,259.088,255.848,258.234,367514.923548703,0
CDR,D,20210212,000000,256.898,257.468,248.491,251.074,384396.4322089832,0
CDR,D,20210215,000000,248.206,258.322,246.586,257.753,283796.69154783775,0
CDR,D,20210216,000000,258.705,260.807,254.6,257.851,342260.8789587809,0
CDR,D,20210217,000000,259.756,260.139,255.936,258.99,308234.1517019638,0
CDR,D,20210218,000000,258.99,270.638,256.987,262.526,522654.76631460135,0
CDR,D,20210219,000000,262.526,266.249,252.695,253.363,449519.5500564952,0
CDR,D,20210222,000000,254.316,256.034,246.301,246.389,489567.82388850825,0
CDR,D,20210223,000000,247.254,249.257,238.758,246.006,582614.6676110597,0
CDR,D,20210224,000000,246.488,250.406,244.386,246.488,357262.817957603,0
CDR,D,20210225,000000,243.433,244.386,237.805,240.192,804134.0686157043,0
CDR,D,20210226,000000,238.277,238.561,223.574,225.872,1548520.0184320142,0
CDR,D,20210301,000000,226.628,230.067,214.981,229.399,1140848.89343264,0
CDR,D,20210302,000000,229.978,234.751,225.293,230.351,706172.4455021262,0
CDR,D,20210303,000000,230.833,234.172,216.7,217.947,876394.6638883377,0
CDR,D,20210304,000000,217.947,226.727,215.747,224.34,557164.1133003035,0
CDR,D,20210305,000000,222.906,227.011,218.418,221.472,480232.08487125754,0
CDR,D,20210308,000000,224.242,226.727,221.472,221.472,426916.8594202089,0
CDR,D,20210309,000000,221.001,223.103,212.888,212.888,1069327.5005295337,0
CDR,D,20210310,000000,212.888,216.415,200.661,200.661,1324044.8261342314,0
CDR,D,20210311,000000,200.955,213.458,197.233,210.973,1256779.4468741156,0
CDR,D,20210312,000000,212.888,224.438,210.305,216.228,887015.3524791306,0
CDR,D,20210315,000000,220.52,223.957,215.275,219.469,548766.1227436054,0
CDR,D,20210316,000000,222.435,225.391,216.228,219.086,438526.2057256667,0
CDR,D,20210317,000000,219.567,221.472,212.977,220.52,561073.9440153447,0
CDR,D,20210318,000000,220.52,221.188,210.688,210.688,664511.3665001538,0
CDR,D,20210319,000000,210.688,216.7,208.017,213.075,1006722.3543899131,0
